Target,Race_Label,Feature,Importance,Importance_Normalized,Rank
Has_Hypertension,Other Hispanic,DR1TCARB,0.02365819711873586,0.023658197118735867,12
Has_Hypertension,Other Hispanic,DR1TTFAT,0.020658634091671582,0.020658634091671586,17
Has_Hypertension,Other Hispanic,DR1TSFAT,0.02022650830989868,0.020226508309898684,19
Has_Hypertension,Other Hispanic,DR1TSUGR,0.020367665580380733,0.020367665580380737,18
Has_Hypertension,Other Hispanic,DR1TFIBE,0.021264743759102648,0.02126474375910265,13
Has_Hypertension,Other Hispanic,DR1TPROT,0.0206986908639386,0.020698690863938603,16
Has_Hypertension,Other Hispanic,SMQ020,0.0530407370032226,0.053040737003222614,7
Has_Hypertension,Other Hispanic,SMQ040,0.010006312502253926,0.010006312502253928,22
Has_Hypertension,Other Hispanic,ALQ121,0.027582184717728792,0.0275821847177288,11
Has_Hypertension,Other Hispanic,ALQ130,0.011431820274968616,0.011431820274968618,21
Has_Hypertension,Other Hispanic,LBXGH,0.11862115808281641,0.11862115808281644,3
Has_Hypertension,Other Hispanic,LBXTC,0.03924438924866403,0.03924438924866404,9
Has_Hypertension,Other Hispanic,LBDHDD,0.027880201237721027,0.027880201237721034,10
Has_Hypertension,Other Hispanic,BPXOSY1,0.11900428247052026,0.11900428247052029,2
Has_Hypertension,Other Hispanic,BPXODI1,0.062073042985096645,0.06207304298509666,6
Has_Hypertension,Other/Multi-racial,RIAGENDR,0.017221626418811913,0.017221626418811916,21
Has_Hypertension,Other/Multi-racial,INDFMPIR,0.08685607512397908,0.0868560751239791,5
Has_Hypertension,Other/Multi-racial,BMXBMI,0.09555091754875729,0.0955509175487573,3
Has_Hypertension,Other/Multi-racial,PAD680,0.12050691861529277,0.12050691861529278,1
Has_Hypertension,Other/Multi-racial,PAD800,0.07851495194672511,0.07851495194672513,6
Has_Hypertension,Other/Multi-racial,DR1TKCAL,0.019077862939112854,0.019077862939112858,20
Has_Hypertension,Other/Multi-racial,DR1TSODI,0.021775158374689983,0.021775158374689987,16
Has_Hypertension,Other/Multi-racial,DR1TCARB,0.022119805248268176,0.02211980524826818,14
Has_Hypertension,Other/Multi-racial,DR1TTFAT,0.021855608753833224,0.021855608753833227,15
Has_Hypertension,Other/Multi-racial,DR1TSFAT,0.02066574570630851,0.020665745706308514,18
Has_Hypertension,Other/Multi-racial,DR1TSUGR,0.023679655486175785,0.023679655486175788,13
Has_Hypertension,Other/Multi-racial,DR1TFIBE,0.02133172718586862,0.021331727185868624,17
Has_Hypertension,Other/Multi-racial,DR1TPROT,0.023734604059653747,0.02373460405965375,12
Has_Hypertension,Other/Multi-racial,SMQ020,0.03625227394840315,0.036252273948403156,9
Has_Hypertension,Other/Multi-racial,SMQ040,0.019448503616266863,0.019448503616266866,19
Has_Hypertension,Other/Multi-racial,ALQ121,0.03773004847054547,0.03773004847054548,8
Has_Hypertension,Other/Multi-racial,ALQ130,0.014155715650954527,0.01415571565095453,22
Has_Hypertension,Other/Multi-racial,LBXGH,0.10113195989352967,0.10113195989352969,2
Has_Hypertension,Other/Multi-racial,LBXTC,0.03352663700382294,0.03352663700382295,11
Has_Hypertension,Other/Multi-racial,LBDHDD,0.034409105152346214,0.03440910515234622,10
Has_Hypertension,Other/Multi-racial,BPXOSY1,0.09403382552121597,0.09403382552121599,4
Has_Hypertension,Other/Multi-racial,BPXODI1,0.05642127333543816,0.056421273335438164,7
