Race,Target,Feature,Model,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Other/Multi-racial,Has_Diabetes,HbA1c,RF,1.0,0.0,1,1,1.0
Other/Multi-racial,Has_Diabetes,Cholesterol,RF,9.0,1.1832159566199232,8,11,0.0
Other/Multi-racial,Has_Diabetes,HDL,RF,6.7,0.9,5,8,0.0
Other/Multi-racial,Has_Diabetes,Sys_BP,RF,6.0,0.7745966692414834,5,7,0.0
Other/Multi-racial,Has_Diabetes,Dia_BP,RF,11.1,1.374772708486752,9,14,0.0
Mexican American,Has_Hypertension,Gender,RF,18.4,1.624807680927192,15,21,0.0
Mexican American,Has_Hypertension,Race,RF,23.0,0.0,23,23,0.0
Mexican American,Has_Hypertension,Income_Ratio,RF,3.8,0.9797958971132712,3,6,0.5
Mexican American,Has_Hypertension,BMI,RF,4.0,0.8944271909999159,2,5,0.2
Mexican American,Has_Hypertension,Mod_Activity,RF,1.1,0.3,1,2,1.0
Mexican American,Has_Hypertension,Vig_Activity,RF,6.0,0.6324555320336759,5,7,0.0
Mexican American,Has_Hypertension,Calories,RF,17.1,1.57797338380595,14,19,0.0
Mexican American,Has_Hypertension,Sodium,RF,15.6,2.3323807579381204,12,18,0.0
Mexican American,Has_Hypertension,Carbs,RF,12.7,1.2688577540449522,10,14,0.0
Mexican American,Has_Hypertension,Fat,RF,14.9,2.7367864366808017,10,19,0.0
Mexican American,Has_Hypertension,Sat_Fat,RF,15.9,1.8681541692269403,13,19,0.0
Mexican American,Has_Hypertension,Sugar,RF,10.3,0.9,9,12,0.0
Mexican American,Has_Hypertension,Fiber,RF,14.4,1.9595917942265424,11,18,0.0
Mexican American,Has_Hypertension,Protein,RF,14.5,1.5,12,17,0.0
Mexican American,Has_Hypertension,Ever_Smoked,RF,10.7,1.6155494421403511,8,14,0.0
Mexican American,Has_Hypertension,Smoke_Freq,RF,21.9,0.3,21,22,0.0
Mexican American,Has_Hypertension,Alc_Freq,RF,20.0,0.4472135954999579,19,21,0.0
Mexican American,Has_Hypertension,Alc_Amt,RF,20.8,0.7483314773547883,19,22,0.0
Mexican American,Has_Hypertension,HbA1c,RF,4.4,1.42828568570857,2,7,0.3
Mexican American,Has_Hypertension,Cholesterol,RF,8.1,0.3,8,9,0.0
Mexican American,Has_Hypertension,HDL,RF,9.7,0.9000000000000001,9,12,0.0
