Race,Target,Feature,LR_Mean_Rank,LR_Std_Rank,RF_Mean_Rank,RF_Std_Rank,Rank_Diff,LR_Top_3_Freq,RF_Top_3_Freq
Non-Hispanic Asian,Has_Hypertension,Dia_BP,13.2,2.2271057451320084,5.4,0.4898979485566356,7.799999999999999,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Smoke_Freq,14.5,2.9748949561287032,21.4,0.4898979485566356,6.899999999999999,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Sodium,11.3,3.6891733491393435,17.6,2.4576411454889016,6.300000000000001,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Cholesterol,14.0,3.4641016151377544,7.9,0.3,6.1,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Fat,12.2,6.04648658313239,17.0,1.7888543819998317,4.800000000000001,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Gender,12.4,3.261901286060018,16.8,1.8867962264113207,4.4,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Sat_Fat,9.1,4.3920382511995495,13.4,2.8000000000000003,4.300000000000001,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Vig_Activity,9.7,3.1638584039112754,7.1,0.3,2.5999999999999996,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,HbA1c,5.4,0.9165151389911681,3.0,0.4472135954999579,2.4000000000000004,0.0,0.9
Non-Hispanic Asian,Has_Hypertension,Fiber,17.2,4.019950248448357,15.4,1.9078784028338913,1.799999999999999,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,BMI,2.8,0.7483314773547882,3.9,0.3,1.1,0.8,0.1
Non-Hispanic Asian,Has_Hypertension,Protein,14.6,4.608687448721165,15.7,2.0024984394500787,1.0999999999999996,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Sugar,11.9,4.867237409455183,12.9,1.8138357147217055,1.0,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Alc_Freq,19.7,2.0518284528683193,19.1,1.2206555615733703,0.5999999999999979,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Race,23.0,0.0,23.0,0.0,0.0,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Sys_BP,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Non-Hispanic Black,Has_Diabetes,Mod_Activity,20.2,1.9899748742132397,2.0,0.0,18.2,0.0,1.0
Non-Hispanic Black,Has_Diabetes,Income_Ratio,14.7,4.561797891182818,3.0,0.0,11.7,0.0,1.0
Non-Hispanic Black,Has_Diabetes,Gender,8.3,2.051828452868319,19.5,1.6881943016134133,11.2,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Vig_Activity,16.2,1.661324772583615,5.7,0.45825756949558405,10.5,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Cholesterol,17.7,3.2878564445547194,9.3,1.1,8.399999999999999,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Protein,8.8,2.2271057451320084,16.4,2.90516780926679,7.599999999999998,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Sugar,4.7,2.147091055358389,12.1,0.3,7.3999999999999995,0.4,0.0
