Target,Race_Label,Feature,Importance,Importance_Normalized,Rank
Has_Diabetes,Other/Multi-racial,DR1TSODI,0.0186252758380668,0.0186252758380668,14
Has_Diabetes,Other/Multi-racial,DR1TCARB,0.0211507959148596,0.0211507959148596,13
Has_Diabetes,Other/Multi-racial,DR1TTFAT,0.016047688031202,0.016047688031202,20
Has_Diabetes,Other/Multi-racial,DR1TSFAT,0.0183627552286217,0.0183627552286217,15
Has_Diabetes,Other/Multi-racial,DR1TSUGR,0.0270338225649819,0.0270338225649819,10
Has_Diabetes,Other/Multi-racial,DR1TFIBE,0.0174701725446997,0.0174701725446997,18
Has_Diabetes,Other/Multi-racial,DR1TPROT,0.0183470000444374,0.0183470000444374,16
Has_Diabetes,Other/Multi-racial,SMQ020,0.0305866371812956,0.0305866371812956,9
Has_Diabetes,Other/Multi-racial,SMQ040,0.0109022811331626,0.0109022811331626,21
Has_Diabetes,Other/Multi-racial,ALQ121,0.0266731564798423,0.0266731564798423,12
Has_Diabetes,Other/Multi-racial,ALQ130,0.0083000203347687,0.0083000203347687,22
Has_Diabetes,Other/Multi-racial,LBXGH,0.3031087774453563,0.3031087774453563,1
Has_Diabetes,Other/Multi-racial,LBXTC,0.0348277447655602,0.0348277447655602,8
Has_Diabetes,Other/Multi-racial,LBDHDD,0.0417808306562845,0.0417808306562845,6
Has_Diabetes,Other/Multi-racial,BPXOSY1,0.0405458729362756,0.0405458729362756,7
Has_Diabetes,Other/Multi-racial,BPXODI1,0.026766583176313,0.026766583176313,11
