Race,Target,Feature,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Non-Hispanic Asian,Has_Hypertension,Fat,12.2,6.04648658313239,5,22,0.0
Non-Hispanic Asian,Has_Hypertension,Gender,12.4,3.261901286060018,8,17,0.0
Non-Hispanic Asian,Has_Hypertension,Dia_BP,13.2,2.2271057451320084,10,17,0.0
Non-Hispanic Asian,Has_Hypertension,Cholesterol,14.0,3.4641016151377544,9,19,0.0
Non-Hispanic Asian,Has_Hypertension,Smoke_Freq,14.5,2.9748949561287032,10,20,0.0
Non-Hispanic Asian,Has_Hypertension,Protein,14.6,4.608687448721165,7,22,0.0
Non-Hispanic Asian,Has_Hypertension,Income_Ratio,15.3,4.670117771534248,9,21,0.0
Non-Hispanic Asian,Has_Hypertension,Fiber,17.2,4.019950248448357,8,22,0.0
Non-Hispanic Asian,Has_Hypertension,Ever_Smoked,18.9,3.477067730142742,9,22,0.0
Non-Hispanic Asian,Has_Hypertension,HDL,19.6,2.244994432064365,15,22,0.0
Non-Hispanic Asian,Has_Hypertension,Alc_Freq,19.7,2.05182845286832,15,22,0.0
Non-Hispanic Asian,Has_Hypertension,Race,23.0,0.0,23,23,0.0
Non-Hispanic Black,Has_Diabetes,HbA1c,1.0,0.0,1,1,1.0
Non-Hispanic Black,Has_Diabetes,Ever_Smoked,2.1,0.3,2,3,1.0
Non-Hispanic Black,Has_Diabetes,Sys_BP,3.5,1.02469507659596,2,6,0.6
Non-Hispanic Black,Has_Diabetes,Sugar,4.7,2.147091055358389,3,10,0.4
Non-Hispanic Black,Has_Diabetes,Dia_BP,4.9,0.8306623862918076,4,6,0.0
Non-Hispanic Black,Has_Diabetes,BMI,6.5,1.746424919657298,4,10,0.0
Non-Hispanic Black,Has_Diabetes,Gender,8.3,2.051828452868319,5,12,0.0
Non-Hispanic Black,Has_Diabetes,Protein,8.8,2.2271057451320084,5,13,0.0
Non-Hispanic Black,Has_Diabetes,Alc_Freq,10.9,2.5865034312755126,7,16,0.0
Non-Hispanic Black,Has_Diabetes,Carbs,11.4,5.351635264103861,5,21,0.0
Non-Hispanic Black,Has_Diabetes,Sat_Fat,11.4,3.720215047547655,7,19,0.0
Non-Hispanic Black,Has_Diabetes,Smoke_Freq,13.3,3.4942810419312296,8,20,0.0
Non-Hispanic Black,Has_Diabetes,Calories,13.4,2.3323807579381204,8,16,0.0
Non-Hispanic Black,Has_Diabetes,Fat,14.2,3.1874754901018454,9,18,0.0
Non-Hispanic Black,Has_Diabetes,Income_Ratio,14.7,4.561797891182818,10,22,0.0
Non-Hispanic Black,Has_Diabetes,Sedentary_Behavior,16.2,1.661324772583615,14,19,0.0
Non-Hispanic Black,Has_Diabetes,Alc_Amt,16.2,4.331281565541543,8,21,0.0
Non-Hispanic Black,Has_Diabetes,Sodium,17.1,3.4481879299133333,11,21,0.0
Non-Hispanic Black,Has_Diabetes,HDL,17.3,3.8483762809787714,12,22,0.0
Non-Hispanic Black,Has_Diabetes,Cholesterol,17.7,3.28785644455472,12,22,0.0
Non-Hispanic Black,Has_Diabetes,Fiber,19.2,1.9390719429665315,15,22,0.0
Non-Hispanic Black,Has_Diabetes,Sedentary_Behavior,20.2,1.98997487421324,15,22,0.0
Non-Hispanic Black,Has_Diabetes,Race,23.0,0.0,23,23,0.0
Non-Hispanic Black,Has_Hypertension,Sys_BP,1.0,0.0,1,1,1.0
Non-Hispanic Black,Has_Hypertension,Ever_Smoked,2.6,0.8,2,4,0.8
Non-Hispanic Black,Has_Hypertension,BMI,3.2,0.8717797887081347,2,5,0.7
Non-Hispanic Black,Has_Hypertension,HbA1c,5.3,0.9,4,7,0.0
Non-Hispanic Black,Has_Hypertension,Carbs,6.4,5.425863986500215,2,21,0.3
Non-Hispanic Black,Has_Hypertension,Gender,7.5,1.857417562100671,4,11,0.0
Non-Hispanic Black,Has_Hypertension,Sedentary_Behavior,7.8,2.1354156504062622,5,11,0.0
Non-Hispanic Black,Has_Hypertension,Sodium,8.1,1.1357816691600546,6,10,0.0
Non-Hispanic Black,Has_Hypertension,Sugar,8.1,2.1656407827707715,5,12,0.0
Non-Hispanic Black,Has_Hypertension,HDL,11.9,2.1656407827707715,10,16,0.0
Non-Hispanic Black,Has_Hypertension,Income_Ratio,12.5,2.4596747752497685,9,17,0.0
Non-Hispanic Black,Has_Hypertension,Fiber,12.7,2.9,7,19,0.0
Non-Hispanic Black,Has_Hypertension,Calories,12.9,6.7446274915669,3,21,0.2
Non-Hispanic Black,Has_Hypertension,Fat,13.9,4.109744517606904,7,21,0.0
