Race,Target,Feature,Readable_Feature,Coefficient,Abs_Coefficient,ROC_AUC,PR_AUC,N_Samples,Rank
Non-Hispanic White,Has_Diabetes,BMXBMI,BMI,0.2544645302269304,0.2544645302269304,0.8920860053952248,0.6136329944410448,6214,9.0
Non-Hispanic White,Has_Diabetes,PAD680,Mod_Activity,0.3497765261245783,0.3497765261245783,0.8920860053952248,0.6136329944410448,6214,5.0
Non-Hispanic White,Has_Diabetes,PAD800,Vig_Activity,-0.08476668599972914,0.08476668599972914,0.8920860053952248,0.6136329944410448,6214,17.0
Non-Hispanic White,Has_Diabetes,DR1TKCAL,Calories,0.5975663125856755,0.5975663125856755,0.8920860053952248,0.6136329944410448,6214,2.0
Non-Hispanic White,Has_Diabetes,DR1TSODI,Sodium,-0.022919474165635875,0.022919474165635875,0.8920860053952248,0.6136329944410448,6214,19.0
Non-Hispanic White,Has_Diabetes,DR1TCARB,Carbs,-0.2963886874963666,0.2963886874963666,0.8920860053952248,0.6136329944410448,6214,6.0
Non-Hispanic White,Has_Diabetes,DR1TTFAT,Fat,-0.12677925952013167,0.12677925952013167,0.8920860053952248,0.6136329944410448,6214,14.0
Non-Hispanic White,Has_Diabetes,DR1TSFAT,Sat_Fat,0.009194893502308892,0.009194893502308892,0.8920860053952248,0.6136329944410448,6214,22.0
Non-Hispanic White,Has_Diabetes,DR1TSUGR,Sugar,-0.2569135111668989,0.2569135111668989,0.8920860053952248,0.6136329944410448,6214,8.0
Non-Hispanic White,Has_Diabetes,DR1TFIBE,Fiber,-0.09644697548903465,0.09644697548903465,0.8920860053952248,0.6136329944410448,6214,16.0
Non-Hispanic White,Has_Diabetes,DR1TPROT,Protein,-0.14353003712439436,0.14353003712439436,0.8920860053952248,0.6136329944410448,6214,13.0
Non-Hispanic White,Has_Diabetes,SMQ020,Ever_Smoked,-0.3589357067383577,0.3589357067383577,0.8920860053952248,0.6136329944410448,6214,4.0
Non-Hispanic White,Has_Diabetes,SMQ040,Smoke_Freq,0.10611181589585858,0.10611181589585858,0.8920860053952248,0.6136329944410448,6214,15.0
Non-Hispanic White,Has_Diabetes,ALQ121,Alc_Freq,0.019564428685515077,0.019564428685515077,0.8920860053952248,0.6136329944410448,6214,20.0
Non-Hispanic White,Has_Diabetes,ALQ130,Alc_Amt,-0.0711417566105303,0.0711417566105303,0.8920860053952248,0.6136329944410448,6214,18.0
Non-Hispanic White,Has_Diabetes,LBXGH,HbA1c,1.732975963434995,1.732975963434995,0.8920860053952248,0.6136329944410448,6214,1.0
Non-Hispanic White,Has_Diabetes,LBXTC,Cholesterol,-0.36052065141443673,0.36052065141443673,0.8920860053952248,0.6136329944410448,6214,3.0
